method,seed,iteracion,yield,fuente,rechazos
bo_puro,0,0,74.5883456051167,bo_puro,0
bo_puro,0,1,42.22083424824,bo_puro,0
bo_puro,0,2,74.59672756184,bo_puro,0
bo_puro_ucb,0,0,70.04658836475663,bo_puro_ucb,0
bo_puro_ucb,0,1,41.11851333472665,bo_puro_ucb,0
bo_puro_ucb,0,2,73.55963355550001,bo_puro_ucb,0
multiagente,0,0,74.5883456051167,multiagent,0
multiagente,0,1,42.22083424824,multiagent,0
multiagente,0,2,74.59672756184,multiagent,0
multiagente_ucb,0,0,70.04658836475663,multiagente_ucb,0
multiagente_ucb,0,1,41.11851333472665,multiagente_ucb,0
multiagente_ucb,0,2,73.55963355550001,multiagente_ucb,0
batch_llm,0,0,12.050393028033357,batch_llm,0
batch_llm,0,1,76.86477324156999,batch_llm,0
batch_llm,0,2,28.871773444040002,batch_llm,0
batch_llm_ucb,0,0,81.16975558936664,batch_llm_ucb,0
batch_llm_ucb,0,1,81.42263822696663,batch_llm_ucb,1
batch_llm_ucb,0,2,80.57619070216668,batch_llm_ucb,1
bo_puro,1,0,79.85281197293327,bo_puro,0
bo_puro,1,1,76.75997520016666,bo_puro,0
bo_puro,1,2,80.14773335670326,bo_puro,0
bo_puro_ucb,1,0,77.40534402873999,bo_puro_ucb,0
bo_puro_ucb,1,1,62.62034498333335,bo_puro_ucb,0
bo_puro_ucb,1,2,56.00424687528002,bo_puro_ucb,0
multiagente,1,0,79.85281197293327,multiagent,0
multiagente,1,1,76.75997520016666,multiagent,0
multiagente,1,2,80.17399146086993,multiagent,0
multiagente_ucb,1,0,77.40534402873999,multiagente_ucb,0
multiagente_ucb,1,1,62.62034498333335,multiagente_ucb,0
multiagente_ucb,1,2,56.00424687528002,multiagente_ucb,0
batch_llm,1,0,18.37037294450002,batch_llm,0
batch_llm,1,1,79.85281197293327,batch_llm,1
batch_llm,1,2,71.41422662709668,batch_llm,0
batch_llm_ucb,1,0,65.43494936374334,batch_llm_ucb,0
batch_llm_ucb,1,1,65.61321168313337,batch_llm_ucb,0
batch_llm_ucb,1,2,66.80034232173334,batch_llm_ucb,0
